name,resume,degree,field_of_study,GPA,years_of_experience,age,shortlisted
Joseph Beck,"Joseph Beck is a B.Tech graduate with 1.3 years of experience in software development. They are proficient in technologies such as C++, CSS, JavaScript, Django, Node.js, Python. Work Highlights: - Developed custom WordPress plugins with PHP, enhancing website functionality and user experience. - Developed micro-frontends with Web Components for a modular application architecture.",B.Tech,Information Technology,7.87,1.3,32,0
Jackie Adams,"Jackie Adams is a MSc graduate with 5.1 years of experience in software development. They are proficient in technologies such as SQL, React, HTML, C++, Django. Work Highlights: - Developed custom middleware for an Express.js application to handle request parsing. - Managed package dependencies and build processes with npm and Yarn.",MSc,Computer Science,9.39,5.1,33,0
Karen Crawford,"Karen Crawford is a MSc graduate with 1.1 years of experience in software development. They are proficient in technologies such as JavaScript, Django, Node.js, Python. Work Highlights: - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency. - Designed and implemented a robust error reporting mechanism with Sentry.",MSc,Information Technology,7.27,1.1,21,0
Emily Hernandez,"Emily Hernandez is a BSc graduate with 4.5 years of experience in software development. They are proficient in technologies such as Java, Python, React. Work Highlights: - Contributed to a game engine development in C++ focusing on rendering optimizations. - Developed mobile application features for iOS using Swift, integrating with Firebase for real-time data.",BSc,Information Technology,8.77,4.5,34,1
Billy Smith,"Billy Smith is a MSc graduate with 5.0 years of experience in software development. They are proficient in technologies such as C++, SQL, Python, Java, HTML. Work Highlights: - Configured load balancers and auto-scaling groups for high-traffic web applications. - Built a real-time dashboard using Vue.js and WebSockets to display sensor data.",MSc,Electronics,8.85,5.0,22,1
Christina Estrada,"Christina Estrada is a BSc graduate with 2.9 years of experience in software development. They are proficient in technologies such as CSS, Node.js, Python, JavaScript, HTML, Java. Work Highlights: - Developed custom API gateways with Kong for microservices orchestration and security. - Optimized front-end asset loading using CDN and image optimization techniques.",BSc,Information Technology,7.94,2.9,27,1
Larry Brown,"Larry Brown is a MSc graduate with 4.1 years of experience in software development. They are proficient in technologies such as Node.js, React, Java. Work Highlights: - Implemented real-time chat functionality using WebSockets and Node.js for a social networking app. - Implemented message queues with RabbitMQ for asynchronous task processing.",MSc,Electronics,9.91,4.1,29,0
Jonathan Frazier,"Jonathan Frazier is a MSc graduate with 3.1 years of experience in software development. They are proficient in technologies such as HTML, Java, CSS, Python, SQL. Work Highlights: - Implemented rate limiting and API throttling for public-facing endpoints. - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency.",MSc,Computer Science,8.37,3.1,30,1
Lindsey Haley,"Lindsey Haley is a B.Tech graduate with 5.1 years of experience in software development. They are proficient in technologies such as Java, React, HTML, CSS. Work Highlights: - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency. - Developed custom WordPress plugins with PHP, enhancing website functionality and user experience.",B.Tech,Computer Science,8.6,5.1,33,0
Patrick Marquez,"Patrick Marquez is a MSc graduate with 3.7 years of experience in software development. They are proficient in technologies such as Node.js, CSS, React, Django. Work Highlights: - Designed and implemented a robust error reporting mechanism with Sentry. - Built a data visualization tool using Python and Plotly Dash for internal reporting.",MSc,Electronics,8.56,3.7,21,0
Mrs. Jacqueline Patel,"Mrs. Jacqueline Patel is a M.Tech graduate with 1.3 years of experience in software development. They are proficient in technologies such as JavaScript, C++, Django. Work Highlights: - Optimized database connection pooling and transaction management in a Java application. - Managed package dependencies and build processes with npm and Yarn.",M.Tech,Information Technology,6.36,1.3,27,0
Larry Hansen,"Larry Hansen is a M.Tech graduate with 4.5 years of experience in software development. They are proficient in technologies such as C++, Python, JavaScript. Work Highlights: - Developed micro-frontends with Web Components for a modular application architecture. - Developed interactive data visualizations using D3.js for business intelligence dashboards.",M.Tech,Electronics,7.35,4.5,32,0
John Baker,"John Baker is a B.Tech graduate with 5.7 years of experience in software development. They are proficient in technologies such as SQL, CSS, JavaScript, Node.js. Work Highlights: - Performed security audits and penetration testing on web applications to identify vulnerabilities. - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability.",B.Tech,Computer Science,8.81,5.7,23,1
Jacqueline Douglas,"Jacqueline Douglas is a MSc graduate with 4.1 years of experience in software development. They are proficient in technologies such as C++, SQL, JavaScript, CSS. Work Highlights: - Developed micro-frontends with Web Components for a modular application architecture. - Built a data visualization tool using Python and Plotly Dash for internal reporting.",MSc,Computer Science,9.03,4.1,35,1
Amanda Spencer,"Amanda Spencer is a B.Tech graduate with 5.3 years of experience in software development. They are proficient in technologies such as Python, React, Node.js. Work Highlights: - Contributed to a game engine development in C++ focusing on rendering optimizations. - Optimized front-end asset loading using CDN and image optimization techniques.",B.Tech,Electronics,9.47,5.3,24,0
Yvette Ward,"Yvette Ward is a BSc graduate with 5.8 years of experience in software development. They are proficient in technologies such as React, C++, Python, Java. Work Highlights: - Optimized database connection pooling and transaction management in a Java application. - Implemented secure REST endpoints and data encryption for a healthcare application.",BSc,Information Technology,7.7,5.8,34,0
Dennis Gilmore,"Dennis Gilmore is a BSc graduate with 1.1 years of experience in software development. They are proficient in technologies such as SQL, Django, HTML. Work Highlights: - Built a CI/CD pipeline using Jenkins and Docker for automated deployment of Python web services. - Integrated push notifications (FCM, APNs) into a mobile application.",BSc,Information Technology,6.64,1.1,21,0
Craig Sanchez,"Craig Sanchez is a BSc graduate with 1.0 years of experience in software development. They are proficient in technologies such as Python, Java, Node.js, CSS. Work Highlights: - Integrated push notifications (FCM, APNs) into a mobile application. - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB.",BSc,Information Technology,8.03,1.0,29,0
Heather Perez,"Heather Perez is a B.Tech graduate with 5.5 years of experience in software development. They are proficient in technologies such as React, CSS, SQL, HTML, Node.js, Python. Work Highlights: - Implemented secure REST endpoints and data encryption for a healthcare application. - Built a real-time dashboard using Vue.js and WebSockets to display sensor data.",B.Tech,Electronics,8.28,5.5,28,1
